"party_id","party_size","is_callahead","section_preferences","table_status_created","table_status_seated","table_status_done"
2184,,FALSE,"{0}",1472341262869,1472341262869,1472346234048
2185,,FALSE,"{0}",1472341390342,1472341390342,1472341441429
2187,,FALSE,"{0}",1472341559972,1472341559972,1472344459983
2192,,FALSE,"{0}",1472342264125,1472342264125,1472350010991
2195,,FALSE,"{0}",1472342513689,1472342513689,1472342801672
2196,,FALSE,"{0}",1472342525007,1472342525007,1472419475023
2198,,FALSE,"{0}",1472342642480,1472342642480,1472344409544
2199,,FALSE,"{0}",1472342648232,1472342648232,1472346990232
2200,,FALSE,"{0}",1472342676802,1472342676802,1472349936770
2205,,FALSE,"{0}",1472343016921,1472343016921,1472343248131
2207,,FALSE,"{0}",1472343020985,1472343020985,1472343250061
2209,4,FALSE,"{0}",1472346622532,1472346625020,1472347085042
2210,,FALSE,"{0}",1472343367682,1472343367682,1472347998728
2211,,FALSE,"{0}",1472343376114,1472343376115,1472346909265
2215,,FALSE,"{0}",1472343699135,1472343699135,1472344462230
2216,,FALSE,"{0}",1472343701635,1472343701635,1472350916800
2217,,FALSE,"{0}",1472343704751,1472343704751,1472350918670
2218,,FALSE,"{0}",1472343705392,1472343705393,1472345513311
2221,3,FALSE,"{9}",1472346826273,1472346826273,1472346829422
2223,,FALSE,"{0}",1472344299424,1472344299424,1472345709557
2224,,FALSE,"{0}",1472344302259,1472344302259,1472345712921
2226,,FALSE,"{0}",1472344412649,1472344412649,1472348667784
2227,,FALSE,"{0}",1472344437066,1472344437066,1472346226999
2232,,FALSE,"{0}",1472345102527,1472345102527,1472353682707
2233,,FALSE,"{0}",1472345104503,1472345104503,1472350012661
2234,,FALSE,"{0}",1472345113105,1472345113105,1472346223849
2236,,FALSE,"{0}",1472345265878,1472345265878,1472348603414
2237,,FALSE,"{0}",1472345256134,1472345256134,1472349139845
2240,,FALSE,"{0}",1472345516153,1472345516153,1472351993447
2241,,FALSE,"{0}",1472345525016,1472345525017,1472351930207
2244,,FALSE,"{0}",1472345805772,1472345805772,1472352060832
2248,,FALSE,"{0}",1472346239166,1472346239166,1472350886652
2249,,FALSE,"{0}",1472346251219,1472346251219,1472419471790
2250,,FALSE,"{0}",1472346394177,1472346394177,1472349960155
2252,,FALSE,"{0}",1472346503550,1472346503550,1472348612715
2253,,FALSE,"{0}",1472346600502,1472346600502,1472419470357
2256,,FALSE,"{0}",1472346835314,1472346835315,1472350742807
2260,,FALSE,"{0}",1472347068109,1472347068109,1472350035645
2267,,FALSE,"{0}",1472348610366,1472348610366,1472352362838
2269,,FALSE,"{0}",1472348670122,1472348670122,1472354604532
2270,,FALSE,"{0}",1472348676204,1472348676204,1472349980108
2271,,FALSE,"{0}",1472348690938,1472348690938,1472350905399
2272,,FALSE,"{0}",1472348692854,1472348692854,1472351306913
2273,,FALSE,"{0}",1472348696906,1472348696906,1472351309261
2279,,FALSE,"{0}",1472349603583,1472349603583,1472354199426
2280,,FALSE,"{0}",1472349606963,1472349606963,1472352153421
2282,,FALSE,"{0}",1472349957610,1472349957610,1472419456408
2283,,FALSE,"{0}",1472350025780,1472350025780,1472350824647
2284,,FALSE,"{0}",1472350031562,1472350031562,1472354495390
2285,,FALSE,"{0}",1472350041882,1472350041882,1472354168225
2286,,FALSE,"{0}",1472350044314,1472350044314,1472354172257
2287,,FALSE,"{0}",1472350046595,1472350046596,1472354174959
2288,,FALSE,"{0}",1472350226176,1472350226176,1472419437888
2289,,FALSE,"{0}",1472350234707,1472350234708,1472419436171
2290,,FALSE,"{0}",1472350582771,1472350582772,1472350894402
2291,,FALSE,"{0}",1472350762950,1472350762951,1472419448255
2292,,FALSE,"{0}",1472350765482,1472350765482,1472353176299
2293,,FALSE,"{0}",1472350773651,1472350773651,1472419432689
2294,,FALSE,"{0}",1472350819333,1472350819333,1472354416323
2295,,FALSE,"{0}",1472350875622,1472350875623,1472419421689
2296,,FALSE,"{0}",1472350924173,1472350924173,1472351914225
2297,,FALSE,"{0}",1472350926087,1472350926087,1472351916121
2298,,FALSE,"{0}",1472351427139,1472351427140,1472419488757
2299,,FALSE,"{0}",1472351428956,1472351428956,1472419491841
2300,,FALSE,"{0}",1472351434540,1472351434540,1472419440023
2301,,FALSE,"{0}",1472351442087,1472351442088,1472354191144
2302,,FALSE,"{0}",1472351446104,1472351446104,1472419442288
2303,,FALSE,"{0}",1472351451156,1472351451156,1472419467440
2304,,FALSE,"{0}",1472351918325,1472351918325,1472352148253
2305,,FALSE,"{0}",1472351920095,1472351920095,1472352146489
2306,,FALSE,"{0}",1472351925362,1472351925362,1472352143135
2307,,FALSE,"{0}",1472351941212,1472351941212,1472419672367
2308,,FALSE,"{0}",1472351943062,1472351943062,1472419676229
2309,,FALSE,"{0}",1472352345807,1472352345807,1472419496593
2310,,FALSE,"{0}",1472352347757,1472352347757,1472419494444
2311,,FALSE,"{0}",1472352349691,1472352349691,1472419444371
2312,,FALSE,"{0}",1472353152647,1472353152647,1472419460207
2313,,FALSE,"{0}",1472353479880,1472353479881,1472419446371
2314,,FALSE,"{0}",1472353482047,1472353482048,1472419427571
2315,,FALSE,"{0}",1472353722899,1472353722900,1472419486708
2316,,FALSE,"{0}",1472354394106,1472354394106,1472419430154
2317,,FALSE,"{0}",1472354407909,1472354407910,1472419451355
2318,4,FALSE,"{0,3}",1472405552584,1472405552584,
2319,2,FALSE,"{0,3}",1472405602199,1472405735758,
2320,6,FALSE,"{0}",1472405540915,1472405540923,
2321,2,FALSE,"{0}",1472405615001,,1472406034577
2322,4,FALSE,"{2}",1472406378370,1472406474487,1472406655013
2323,5,FALSE,"{0}",1472405586121,1472407533904,1472407526522
2324,5,FALSE,"{3}",1472405637636,1472405721813,
2325,3,FALSE,"{3}",1472405650087,1472405701118,1472405717736
2326,7,FALSE,"{0}",1472406034581,1472406277448,
2327,3,FALSE,"{3}",1472405904583,1472406015974,
2328,3,FALSE,"{3}",1472406057260,1472406078804,
2329,2,FALSE,"{3}",1472408315887,1472408413862,
2330,3,FALSE,"{0}",1472406069573,,1472406578582
2331,4,FALSE,"{3}",1472406619036,1472406811248,
2332,3,FALSE,"{0}",1472406082424,1472406142782,1472409133416
2333,3,FALSE,"{0}",1472406089525,1472406189353,
2334,3,FALSE,"{0}",1472406138583,,1472406584171
2336,7,FALSE,"{0}",1472406315382,,1472406804267
2337,4,FALSE,"{0}",1472406329716,,1472406865150
2338,4,FALSE,"{0}",1472407044026,1472407076445,1472408167733
2339,4,FALSE,"{0}",1472406549738,1472406655036,
2340,3,FALSE,"{3}",1472409066090,1472409361997,
2341,8,FALSE,"{0}",1472410366364,,1472410381211
2342,4,FALSE,"{3}",1472408508003,1472408543134,
2343,2,FALSE,"{0}",1472406595818,,1472409571804
2345,2,FALSE,"{0,0}",1472406605968,1472406738619,
2346,7,FALSE,"{2}",1472407372637,1472407462003,
2347,4,FALSE,"{2}",1472408197537,1472408270780,
2348,2,FALSE,"{0}",1472406676357,1472406746650,
2349,4,FALSE,"{0}",1472406633421,1472406818320,
2350,2,FALSE,"{3}",1472406832255,,1472407410486
2351,4,FALSE,"{3}",1472407098179,1472407288648,
2352,2,FALSE,"{3}",1472409085565,,1472410029952
2353,3,FALSE,"{0}",1472406748613,1472406839978,
2354,4,FALSE,"{3}",1472407090328,1472407356721,
2355,2,FALSE,"{3}",1472409092029,1472409451334,1472410025391
2356,2,FALSE,"{3,0}",1472408445445,1472408473972,
2357,2,FALSE,"{0}",1472406687125,1472407289301,
2358,2,FALSE,"{0}",1472407054510,,1472407132648
2359,7,FALSE,"{0}",1472407105180,1472407294706,
2360,3,FALSE,"{0}",1472407426561,,1472407885528
2361,2,FALSE,"{3}",1472407156989,,1472407815928
2362,5,FALSE,"{2}",1472408412407,1472408504811,
2363,3,FALSE,"{0}",1472407454942,1472408762093,
2364,4,FALSE,"{0}",1472407500113,1472407668555,
2365,4,FALSE,"{0}",1472407506519,1472407689384,
2366,4,FALSE,"{0}",1472409662819,1472409721047,
2367,6,FALSE,"{3}",1472407588571,1472407703681,
2368,4,FALSE,"{3}",1472407632608,1472407753856,
2370,2,FALSE,"{3}",1472409166896,1472409263070,1472409833974
2371,2,FALSE,"{3}",1472410049664,1472410085522,
2372,4,FALSE,"{3}",1472409893424,1472409927117,
2373,3,FALSE,"{3}",1472410105668,,1472410703002
2374,2,FALSE,"{3}",1472410121535,1472410295416,
2377,4,FALSE,"{0,3}",1472409693620,1472409810019,
2380,8,FALSE,"{3}",1472410160129,,1472410715025
2381,2,FALSE,"{3}",1472410170516,1472410250043,
2382,9,FALSE,"{0}",1472410514816,,1472410718466
2384,5,FALSE,"{0}",1472409808079,1472409896434,
2385,4,FALSE,"{0}",1472409570960,1472409575723,1472409816102
2386,4,FALSE,"{0}",1472409581864,1472411107518,1472476021817
2387,2,FALSE,"{0}",1472410006610,1472410156506,
2388,2,FALSE,"{0}",1472409802553,1472410921237,1472475999882
2390,2,FALSE,"{3}",1472410434996,,1472410724656
2395,2,FALSE,"{0,0}",1472410035352,1472411119877,1472476023277
2400,2,FALSE,"{0}",1472410681756,1472419626840,1472419658483
2401,,FALSE,"{0}",1472410630648,1472410630648,1472476007543
2402,2,FALSE,"{0}",1472410741393,1472411218037,1472476009306
2403,2,FALSE,"{0}",1472410765892,1472411731483,1472414717763
2404,,FALSE,"{0}",1472410749906,,1472411777250
2405,,FALSE,"{0}",1472410751489,1472410751489,1472476020501
2406,,FALSE,"{0}",1472410752677,1472410752677,1472419782819
2407,,FALSE,"{0}",1472410753741,1472410753742,1472476018139
2408,,FALSE,"{0}",1472410755053,1472410755053,1472476016806
2409,,FALSE,"{0}",1472410758036,1472410758036,1472413257847
2410,,FALSE,"{0}",1472410759425,1472410759425,1472413255463
2411,2,FALSE,"{0}",1472410795160,1472413546386,1472476005696
2412,8,FALSE,"{0}",1472410828631,1472410828646,1472476011851
2413,3,FALSE,"{0}",1472410863721,1472410863721,1472419791335
2414,8,FALSE,"{0}",1472410893964,1472415742523,1472476015445
2415,4,FALSE,"{0}",1472411415115,1472411420271,1472476010751
2416,7,FALSE,"{0}",1472411519019,1472419658511,1472419684291
2417,2,FALSE,"{0}",1472411811026,1472419819636,1472419853898
2418,6,FALSE,"{0}",1472411927890,1472415724562,1472415742506
2419,4,FALSE,"{0}",1472413271219,1472419844043,1472419855129
2420,3,FALSE,"{0}",1472413333237,1472419684313,1472419851707
